title,price,writer,publisher,time,page_weight_cm,isbn13,isbn10
90년생이 온다,"14,000원",임홍택,웨일북,2018년 11월 16일,336쪽 | 450g | 145*210*30mm,9791188248674,1188248677
마케팅이다,"18,000원",세스 고딘,쌤앤파커스,2019년 03월 27일,368쪽 | 538g | 135*190*33mm,9788965707820,896570782X
포노 사피엔스,"16,800원",최재붕,쌤앤파커스,2019년 03월 11일,336쪽 | 578g | 152*224*19mm,9788965707691,8965707692
명견만리 공존의 시대 편,"15,800원",KBS 명견만리 제작팀,인플루엔셜,2019년 02월 25일,316쪽 | 600g | 152*225*19mm,9791186560976,1186560975
리테일의 미래,"16,800원",황지영,인플루엔셜,2019년 04월 12일,308쪽 | 576g | 152*225*19mm,9791189995034,1189995034
브랜드가 되어간다는 것,"15,000원",강민호,턴어라운드,2019년 04월 02일,282쪽 | 373g | 127*188*17mm,9791196372156,1196372152
공간은 경험이다,"15,000원",이승윤,북스톤,2019년 03월 25일,240쪽 | 411g | 152*215*14mm,9791187289524,1187289523
트렌드 코리아 2019,"17,000원",김난도,미래의창,2018년 10월 24일,432쪽 | 682g | 152*225*30mm,9788959895526,8959895520
스마트스토어(스토어팜) 마케팅,"17,000원",임헌수,이코노믹북스,2018년 04월 12일,340쪽 | 626g | 152*225*20mm,9788957751848,895775184X
수소전기차 시대가 온다,"18,000원",권순우,가나출판사,2019년 04월 25일,304쪽 | 467g | 152*225*19mm,9788957369159,8957369155
생각정리 기획력,"14,000원",복주환,천그루숲,2019년 04월 30일,248쪽 | 435g | 153*224*15mm,9791188348411,1188348418
된다! 네이버 블로그 & 포스트,"15,000원",황윤정,이지스퍼블리싱,2019년 02월 15일,328쪽 | 188*257*30mm,9791163030515,1163030511
페이스북 인스타그램 통합 마케팅,"23,000원",임헌수,이코노믹북스,2018년 11월 21일,432쪽 | 784g | 152*225*30mm,9788957751923,8957751920
모두 거짓말을 한다,"18,000원",세스 스티븐스 다비도위츠,더퀘스트,2018년 06월 17일,359쪽 | 522g | 150*215*20mm,9791160504576,1160504571
