title,price,writer,publisher,time,page,weight,horizon,vertical,height,isbn13,isbn10
90년생이 온다,"14,000",임홍택,웨일북,2018-11-16,336,450,145,210,30,9791188248674,1188248677
포노 사피엔스,"16,800",최재붕,쌤앤파커스,2019-03-11,336,578,152,224,19,9788965707691,8965707692
마케팅이다,"18,000",세스 고딘,쌤앤파커스,2019-03-27,368,538,135,190,33,9788965707820,896570782X
명견만리 공존의 시대 편,"15,800",KBS 명견만리 제작팀,인플루엔셜,2019-02-25,316,600,152,225,19,9791186560976,1186560975
브랜드가 되어간다는 것,"15,000",강민호,턴어라운드,2019-04-02,282,373,127,188,17,9791196372156,1196372152
리테일의 미래,"16,800",황지영,인플루엔셜,2019-04-12,308,576,152,225,19,9791189995034,1189995034
공간은 경험이다,"15,000",이승윤,북스톤,2019-03-25,240,411,152,215,14,9791187289524,1187289523
트렌드 코리아 2019,"17,000",김난도,미래의창,2018-10-24,432,682,152,225,30,9788959895526,8959895520
스마트스토어(스토어팜) 마케팅,"17,000",임헌수,이코노믹북스,2018-04-12,340,626,152,225,20,9788957751848,895775184X
페이스북 인스타그램 통합 마케팅,"23,000",임헌수,이코노믹북스,2018-11-21,432,784,152,225,30,9788957751923,8957751920
생각정리 기획력,"14,000",복주환,천그루숲,2019-04-30,248,435,153,224,15,9791188348411,1188348418
모두 거짓말을 한다,"18,000",세스 스티븐스 다비도위츠,더퀘스트,2018-06-17,359,522,150,215,20,9791160504576,1160504571
AI 2045 인공지능 미래보고서,"15,000",일본경제신문사,반니,2019-03-08,252,430,148,218,15,9791189653057,1189653052
수소전기차 시대가 온다,"18,000",권순우,가나출판사,2019-04-25,304,467,152,225,19,9788957369159,8957369155
그냥 그렇게 살다가 갈거라고?,"5,500",최병철,엔타임,2010-07-05,104,177,128,188,20,9788994484037,8994484035
미래학자의 통찰의 기술,"19,800",최윤식,김영사,2019-04-10,652,854,145,215,35,9788934995142,8934995149
스마트스토어 상위노출 전략,"16,000",최광종,e비즈북스,2019-04-30,272,464,152,225,13,9791157831456,1157831451
구글 애드센스 마케팅,"16,000",윤중훈,경향비피,2019-03-06,268,508,165,225,16,9788969523297,8969523294
스타벅스 웨이,"16,800",조셉 미첼리,현대지성,2019-02-15,336,572,150,225,19,9791187142706,1187142700
마케터의 일,"14,000",장인성,북스톤,2018-04-05,223,258,128,188,18,9791187289319,1187289310
진정성 마케팅,"16,000",김상훈,21세기북스,2019-03-25,264,345,128,188,17,9788950980320,8950980320
디지털 대전환의 조건,"18,000",위르겐 메페르트,청림출판,2018-12-06,368,660,152,224,30,9788935212477,8935212474
도쿄의 디테일 ,"15,800",생각노트,bookbyPUBLY(북바이퍼블리),2018-11-30,288,532,148,217,18,9791162339831,1162339837
영업의 神신 100법칙,"14,700",하야카와 마사루,지상사,2019-05-02,232,401,148,210,19,9788965022879,8965022878
유튜브 레볼루션,"18,000",로버트 킨슬,더퀘스트,2018-08-06,351,640,152,225,24,9791160505177,1160505179
네트워크마케팅 초기사업자 행동백서,"9,000",도서출판 라인,라인(LINE),2015-09-25,175,286,136,215,20,9791195570836,119557083X
브랜드 ; 짓다,"16,000",민은정,리더스북,2019-03-10,280,557,145,215,20,9788901230252,8901230259
디스 이즈 브랜딩,"17,000",김지헌,턴어라운드,2019-03-04,328,560,148,218,20,9791196372149,1196372144
생각이 돈이 되는 순간,"16,000",앨런 가넷,알에이치코리아(RHK),2018-12-20,356,580,145,215,30,9788925565163,8925565161
변하는 것과 변하지 않는 것,"16,000",강민호,턴어라운드,2018-06-01,264,450,148,210,16,9791196372101,1196372101
좋아 보이는 것들의 비밀,"15,000",이랑주,인플루엔셜,2016-04-11,280,494,152,215,20,9791186560112,1186560118
컨테이저스 전략적 입소문,"16,000",조나 버거,문학동네,2013-09-26,368,598,145,210,30,9788954622431,8954622437
사고 싶은 컬러 팔리는 컬러,"16,000",이호정,라온북,2019-04-25,368,636,150,220,19,9791189089818,1189089815
마케터의 여행법,"15,000",김석현(김투몽),북스톤,2019-01-15,264,438,152,215,20,9791187289500,1187289507
AI 슈퍼파워,"18,000",리카이푸,이콘,2019-04-03,424,701,153,214,25,9791189318109,1189318105
네이버 스마트스토어 실전 마케팅,"17,000",최재혁,다온북스,2019-03-29,316,480,152,225,19,9791185439044,1185439048
어떻게 팔지 답답할 때 읽는 마케팅 책,"15,000",리처드 쇼튼,비즈니스북스,2019-01-18,280,506,152,225,20,9791162540572,1162540575
인구 전쟁 2045,"16,000",KAIST 문술미래전략대학원/미래전략연구센터,크리에이터출판사,2018-03-12,335,492,152,225,18,9791196328207,119632820X
크러싱 잇! SNS로 부자가 된 사람들,"17,000",게리 바이너척,천그루숲,2019-04-20,344,594,153,224,20,9791188348398,1188348396
